Name                           Symbol     
IC_L2_REFILL                   0x40000036 
IC_SYS_REFILL                  0x40000037 
IC_L1ITLB_MISS_AND_L2ITLB_HIT  0x40000038 
IC_L1ITLB_MISS_AND_L2ITLB_MISS 0x40000039 
IC_RESYNC                      0x4000003a 
IC_FETCH_STALL                 0x4000003b 
IC_STACK_HIT                   0x4000003c 
IC_STACK_OVERFLOW              0x4000003d 
FR_X86_INS                     0x4000003e 
FR_RET_UOPS                    0x4000003f 
FR_BR                          0x40000040 
FR_BR_MIS                      0x40000041 
FR_BR_TAKEN                    0x40000042 
FR_BR_TAKEN_MIS                0x40000043 
FR_FAR_CONTROL_TRANSFERS       0x40000044 
FR_RESYNCS                     0x40000045 
FR_NEAR_RETURNS                0x40000046 
FR_NEAR_RETURNS_MIS            0x40000047 
FR_BR_MISCOMPARE               0x40000048 
FR_FPU_X87                     0x40000049 
FR_FPU_MMX_3D                  0x4000004a 
FR_FPU_SSE_SSE2_PACKED         0x4000004b 
FR_FPU_SSE_SSE2_SCALAR         0x4000004c 
FR_FASTPATH_POS0               0x4000004d 
FR_FASTPATH_POS1               0x4000004e 
FR_FASTPATH_POS2               0x4000004f 
FR_INTS_MASKED                 0x40000050 
FR_INTS_MASKED_PENDING         0x40000051 
FR_HW_INTS                     0x40000052 
FR_DECODER_EMPTY               0x40000053 
FR_DISPATCH_STALLS             0x40000054 
FR_DISPATCH_STALLS_BR          0x40000055 
FR_DISPATCH_STALLS_SER         0x40000056 
FR_DISPATCH_STALLS_SEG         0x40000057 
FR_DISPATCH_STALLS_FULL_REORDER 0x40000058 
FR_DISPATCH_STALLS_FULL_RESERVATION 0x40000059 
FR_DISPATCH_STALLS_FULL_FPU    0x4000005a 
FR_DISPATCH_STALLS_FULL_LS     0x4000005b 
FR_DISPATCH_STALLS_QUIET       0x4000005c 
FR_DISPATCH_STALLS_FAR         0x4000005d 
FR_FPU_EXCEPTIONS_X87          0x4000005e 
FR_FPU_EXCEPTIONS_SSE_RETYPE   0x4000005f 
FR_FPU_EXCEPTIONS_SSE_RECLASS  0x40000060 
FR_FPU_EXCEPTIONS_SSE_MICROTRAPS 0x40000061 
FR_BP_DR0                      0x40000062 
FR_BP_DR1                      0x40000063 
FR_BP_DR2                      0x40000064 
FR_BP_DR3                      0x40000065 
NB_MC_PAGE_HIT                 0x40000066 
NB_MC_PAGE_MISS                0x40000067 
NB_MC_PAGE_CONFLICT            0x40000068 
NB_MC_PAGE_TBL_OVERFLOW        0x40000069 
NB_MC_DRAM                     0x4000006a 
NB_MC_TURNAROUND_DIMM          0x4000006b 
NB_MC_TURNAROUND_RTW           0x4000006c 
NB_MC_TURNAROUND_WTR           0x4000006d 
